Date,Close,High,Low,Open,Volume,RSI,20DMA,50DMA,Signal,Buy_Sell
2024-10-17,162.92999,166.37,162.75999,165.73,21453400,,,,0,Sell
2024-10-18,163.42,164.71001,163.08,163.19,19757700,,,,0,Sell
2024-10-21,164.07001,164.5,162.62,162.95,20946500,,,,0,Sell
2024-10-22,165.14,165.77,162.98,162.98,16568100,,,,0,Sell
2024-10-23,162.78,165.82001,161.92999,164.75999,18280500,,,,0,Sell
2024-10-24,162.72,163.33,161.00999,162.83,22412500,,,,0,Sell
2024-10-25,165.27,165.59,163.42,163.67,19828900,,,,0,Sell
2024-10-28,166.72,168.75,163.95,168.75,32138600,,,,0,Sell
2024-10-29,169.67999,170.38,167.09,167.73,42169000,,,,0,Sell
2024-10-30,174.46001,182.02,174.06,180.67999,68890800,,,,0,Sell
2024-10-31,171.11,176.82001,171.0,173.13,44769000,,,,0,Sell
2024-11-01,171.28999,172.32001,168.88,170.07001,31796500,,,,0,Sell
2024-11-04,169.24001,170.73,168.00999,169.92999,21492700,,,,0,Sell
2024-11-05,169.74001,170.53,168.84,169.42999,18242100,,,,0,Sell
2024-11-06,176.50999,176.94,173.5,173.8,33695500,73.23752446100241,,,0,Sell
2024-11-07,180.75,181.08,177.19,177.41,25352900,76.28148394387871,,,0,Sell
2024-11-08,178.35001,180.89999,178.08,180.64999,22006200,70.56453982089846,,,0,Sell
2024-11-11,180.35001,180.55,178.47,178.58,17450400,71.33243029377029,,,0,Sell
2024-11-12,181.62,182.49001,179.39,179.82001,25134900,77.2569759918704,,,0,Sell
2024-11-13,178.88,180.96001,178.53999,180.46001,23184000,71.69712319776929,170.75150100000002,,0,Sell
2024-11-14,175.58,178.82001,174.32001,178.28,31007500,63.569374645301046,171.3840015,,0,Sell
2024-11-15,172.49001,174.14,171.22,173.73,32504600,57.27986030767137,171.837502,,0,Sell
2024-11-18,175.3,175.44,172.89999,173.42,20206600,57.11754954096955,172.3990015,,0,Sell
2024-11-19,178.12,178.87,173.56,173.72,23434900,54.87739449407288,173.0480015,,0,Sell
2024-11-20,175.98,177.67999,173.78,177.34,18997100,56.706156334136764,173.7080015,,0,Sell
2024-11-21,167.63,174.13,163.7,173.89999,59734400,45.885796133222335,173.9535015,,0,Sell
2024-11-22,164.75999,166.46001,163.89999,165.85001,38604600,45.05516119661031,173.928001,,0,Sell
2024-11-25,167.64999,168.63,165.61,166.09,33135300,47.80874213356437,173.9745005,,0,Sell
2024-11-26,169.12,169.82001,167.58,167.63,20486700,41.28333127703029,173.946501,,0,Sell
2024-11-27,169.23,169.48,168.02,169.0,19266500,34.9451045191346,173.6850005,,0,Sell
2024-11-29,168.95,169.42999,167.16,168.5,14257200,36.99500193552903,173.5770005,,0,Sell
2024-12-02,171.49001,172.08,168.57001,168.77,23789100,37.92257360959654,173.5870015,,0,Sell
2024-12-03,171.34,172.67999,170.85001,171.49001,22248700,35.54556493500286,173.692001,,0,Sell
2024-12-04,174.37,174.91,171.06,171.14999,31615100,43.70990588010832,173.9235005,,0,Sell
2024-12-05,172.64,176.06,172.33,175.36,21356200,45.71178779942365,173.730001,,0,Sell
2024-12-06,174.71001,175.08,171.86,172.03,21462400,53.33733813910025,173.4280015,,0,Sell
2024-12-09,175.37,176.25999,173.64999,173.96001,25389600,50.112503873347634,173.279001,,0,Sell
2024-12-10,185.17,186.36,181.05,182.85001,54813000,59.25438776120998,173.52000049999998,,0,Sell
2024-12-11,195.39999,195.61,184.85001,185.31,67894100,71.02639387631405,174.209,,0,Sell
2024-12-12,191.96001,195.17999,191.71001,195.0,34817500,79.47662237057851,174.8630005,,0,Sell
2024-12-13,189.82001,192.73,189.64,191.00999,25143500,80.90777010360134,175.575001,,0,Sell
2024-12-16,196.66,199.0,192.62,192.87,44934900,82.60285066371104,176.7835005,,0,Sell
2024-12-17,195.42,201.42,194.98,197.25,43504000,79.71081324483194,177.78950049999997,,0,Sell
2024-12-18,188.39999,197.0,187.74001,195.22,34166100,68.73167260732315,178.3035,,0,Sell
2024-12-19,188.50999,193.03,188.38,191.63,32265200,69.1764645444048,178.92999949999998,,0,Sell
2024-12-20,191.41,192.89,185.22,185.78,63462900,69.39251740508513,180.1189995,,0,Sell
2024-12-23,194.63,195.10001,190.14999,192.62,25675000,71.39445945047194,181.6125,,0,Sell
2024-12-24,196.11,196.11,193.78,194.84,10403300,70.55598356882888,183.0355005,,0,Sell
2024-12-26,195.60001,196.75,194.38,195.14999,12046600,72.2222448057945,184.359501,,0,Sell
2024-12-27,192.75999,195.32001,190.64999,194.95,18891400,67.21341492024217,185.5360005,176.8322004,0,Sell
2024-12-30,191.24001,192.55,189.12,189.8,14264700,64.89024107163131,186.650501,177.3984008,0,Sell
2024-12-31,189.3,191.96001,188.50999,191.08,17466900,54.54545654653604,187.5410005,177.9160008,0,Sell
2025-01-02,189.42999,192.0,187.5,190.64999,20370800,41.55108494258984,188.4455,178.42320039999998,0,Sell
2025-01-03,191.78999,193.21001,189.98,191.37,18596200,49.751795620437925,189.3164995,178.9562002,0,Sell
2025-01-06,196.87,198.22,193.85001,193.98,29563600,59.47833840324324,190.5279995,179.6380002,0,Sell
2025-01-07,195.49001,201.0,194.60001,197.11,26487200,48.15633528007085,191.5669995,180.2934004,0,Sell
2025-01-08,193.95,196.28999,192.38,192.57001,24864800,47.705277736323616,192.4959995,180.8670004,0,Sell
2025-01-10,192.03999,196.52,190.31,194.3,26665200,56.76076763687394,192.839499,181.3734002,0,Sell
2025-01-13,191.00999,191.17999,187.36,190.07001,21823700,54.48993930320452,192.619999,181.8000002,0,Sell
2025-01-14,189.66,191.98,188.31,191.24001,17174900,46.67173830353747,192.5049985,182.104,0,Sell
2025-01-15,195.55,196.36,191.86,193.09,21776000,51.58839779005526,192.791498,182.5928,0,Sell
2025-01-16,192.91,195.48,192.81,194.14,17815400,44.68791500664008,192.603998,183.0252002,0,Sell
2025-01-17,196.0,197.23,193.75,196.53,27735100,50.6116053175519,192.632998,183.5604,0,Sell
2025-01-21,198.05,202.28999,197.87,199.07001,29971300,58.28895590377813,193.1154985,184.1265998,0,Sell
2025-01-22,198.37,200.48,197.53,199.06,26200600,61.60857648694999,193.608499,184.5638,0,Sell
2025-01-23,197.98,200.3,195.2,198.14,26951400,64.8834019204389,193.936999,184.9084,0,Sell
2025-01-24,200.21001,200.89999,198.0,198.10001,23877500,67.24250336372143,194.2159995,185.3456,0,Sell
2025-01-27,191.81,196.88,190.73,192.41,41728900,50.0268230347268,194.0009995,185.5747998,0,Sell
2025-01-28,195.3,195.48,190.67999,192.75,24157900,47.80173743951979,193.985999,185.8483998,0,Sell
2025-01-29,195.41,196.78999,193.42999,195.56,18218300,49.88384156459792,194.1184995,186.1789998,0,Sell
2025-01-30,200.87,201.39999,197.67,198.0,24354700,59.01980760176871,194.599999,186.6847998,0,Sell
2025-01-31,204.02,205.48,201.8,202.0,32042000,65.12627143275972,195.335999,187.3153996,0,Sell
2025-02-03,201.23,203.75,200.10001,200.69,27838300,62.354941403544125,195.9259995,187.8339996,0,Sell
2025-02-04,206.38,207.05,202.81,203.39,43856400,68.5119492861163,196.6555,188.3991996,0,Sell
2025-02-05,191.33,192.75,188.03,191.07001,70373900,46.1156126231176,196.3785,188.7061996,0,Sell
2025-02-06,191.60001,192.10001,188.72,189.5,29297400,48.73918263377327,196.18400000000003,189.1855998,0,Sell
2025-02-07,185.34,191.17999,183.24001,191.05,49315000,40.33019569651982,195.7535,189.5972,0,Sell
