Date,Close,High,Low,Open,Volume,RSI,20DMA,50DMA,Signal,Buy_Sell
2025-01-14,233.28,236.12,232.47,234.75,39435300,19.2875170685158,247.86650050000003,238.7909998,1,Buy
2025-01-15,237.87,238.96001,234.42999,234.64,39832000,27.308270535493463,247.3535005,239.0301998,1,Buy
2025-01-16,228.25999,238.00999,228.03,237.35001,71759100,16.74806019374509,246.2145005,239.13719960000003,1,Buy
2025-01-17,229.98,232.28999,228.48,232.12,68488300,18.379794943335085,245.03950050000003,239.2965998,1,Buy
2025-01-21,222.64,224.42,219.38,224.0,98070400,16.937587798514897,243.7690005,239.2803998,1,Buy
2025-01-22,223.83,224.12,219.78999,219.78999,64126500,20.218349779550707,242.471001,239.3025998,1,Buy
2025-01-23,223.66,227.03,222.3,224.74001,60234800,20.925684485006517,240.92950050000005,239.2261998,1,Buy
2025-01-24,222.78,225.63,221.41,224.78,54697900,23.878000526159056,239.3050005,239.1425996,1,Buy
2025-01-27,229.86,232.14999,223.98,224.02,94863400,35.613810741687985,237.888,239.25519960000003,0,Sell
2025-01-28,238.25999,240.19,230.81,230.85001,75707600,43.72204614792215,236.85,239.5357994,0,Sell
2025-01-29,239.36,239.86,234.00999,234.12,45486100,47.25907919617634,236.0385,239.8205994,0,Sell
2025-01-30,237.59,240.78999,237.21001,238.67,55658300,45.20368117000897,235.308,240.0079994,0,Sell
2025-01-31,236.0,247.19,233.44,247.19,101075100,49.13282036350519,234.587,240.2279994,0,Sell
2025-02-03,228.00999,231.83,225.7,229.99001,73063300,44.1429902317176,233.794999,240.2277992,0,Sell
2025-02-04,232.8,233.13,226.64999,227.25,45067300,49.58777080881429,233.266999,240.3181992,0,Sell
2025-02-05,232.47,232.67,228.27,228.53,39620300,44.99629725997239,232.640499,240.38759919999995,0,Sell
2025-02-06,233.22,233.8,230.42999,231.28999,29925300,55.49889878122031,232.19099850000003,240.4815992,0,Sell
2025-02-07,227.63,234.0,227.25999,232.60001,39707200,47.60057275859803,231.43749850000003,240.4367992,0,Sell
2025-02-10,227.64999,230.59,227.2,229.57001,33115600,56.014392313471234,230.97749750000003,240.332399,0,Sell
2025-02-11,232.62,235.23,228.13,228.2,53718400,59.67421982204716,230.88849800000003,240.283599,0,Sell
2025-02-12,236.87,236.96001,230.67999,231.2,45243300,63.34073385549025,231.067998,240.3223992,0,Sell
2025-02-13,241.53,242.34,235.57001,236.91,53614100,67.59241223778858,231.250998,240.4063992,0,Sell
2025-02-14,244.60001,245.55,240.99001,241.25,40896200,64.95535818464393,232.067999,240.50659940000003,0,Sell
2025-02-18,244.47,245.17999,241.84,244.14999,48822500,57.57132702837475,232.792499,240.5429996,0,Sell
2025-02-19,244.87,246.00999,243.16,244.66,32204200,56.834525592135336,233.90399900000003,240.5801998,0,Sell
2025-02-20,245.83,246.78,244.28999,244.94,32316900,60.43036918443626,235.003999,240.636,0,Sell
2025-02-21,245.55,248.69,245.22,245.95,53197400,62.5032600122964,236.098499,240.6902,0,Sell
2025-02-24,247.10001,248.86,244.42,244.92999,51326400,80.0629857474195,237.3144995,240.6972002,0,Sell
2025-02-25,247.03999,250.0,244.91,248.0,48013300,76.35078395487788,238.173499,240.6826,0,Sell
2025-02-26,240.36,244.98,239.13,244.33,44433600,61.821981633824855,238.2784995,240.5599998,0,Sell
2025-02-27,237.3,242.46001,237.06,239.41,41153600,55.71748237950408,238.17549950000003,240.34679960000005,0,Sell
2025-02-28,241.84,242.09,230.2,236.95,56833400,70.51686916907983,238.3879995,240.2209996,0,Sell
2025-03-03,238.03,244.03,236.11,241.78999,47184000,63.50858471032704,238.4894995,239.9607998,0,Sell
2025-03-04,235.92999,240.07001,234.67999,237.71001,53798100,54.65539429621056,238.8854995,239.6097996,0,Sell
2025-03-05,235.74001,236.55,229.23,235.42,47227600,48.20579719993916,239.03250000000003,239.3635998,0,Sell
2025-03-06,235.33,237.86,233.16,234.44,45170400,38.61969365683752,239.1755,239.0744,0,Sell
2025-03-07,239.07001,241.37,234.75999,235.11,46273600,40.09317077295481,239.4680005,238.766,0,Sell
2025-03-10,227.48,236.16,224.22,235.53999,72071200,28.42267876791587,239.4605005,238.2102,1,Buy
2025-03-11,220.84,225.84,217.45,223.81,76137400,23.657115845546254,239.120001,237.4629998,1,Buy
2025-03-12,216.98,221.75,214.91,220.14,62547500,20.263887640579085,238.338001,236.6222,1,Buy
2025-03-13,209.67999,216.84,208.42,215.95,61368300,17.7021630630622,236.9785005,235.7039998,1,Buy
2025-03-14,213.49001,213.95,209.58,211.25,60107600,20.920604685304,235.576501,234.9298,1,Buy
2025-03-17,214.0,215.22,209.97,213.31,48073400,21.63463858105841,234.0465005,234.2014,0,Sell
2025-03-18,212.69,215.14999,211.49001,214.16,42432400,23.832060652876336,232.4575005,233.5781998,0,Sell
2025-03-19,215.24001,218.75999,213.75,214.22,54385400,28.93433065858416,230.976001,233.0158,0,Sell
2025-03-20,214.10001,217.49001,212.22,213.99001,48862900,21.670790777378684,229.3895015,232.3978002,0,Sell
2025-03-21,218.27,218.84,211.28,211.56,94127800,29.967575046573373,228.0255015,231.919,0,Sell
2025-03-24,220.73,221.48,218.58,221.0,44299500,34.70211270001245,226.707001,231.4796,0,Sell
2025-03-25,223.75,224.10001,220.08,220.77,34493600,38.58312837256867,225.5425015,231.2175998,0,Sell
2025-03-26,221.53,225.02,220.47,223.50999,34466100,37.297505671939845,224.6010015,230.9602,0,Sell
2025-03-27,223.85001,224.99001,220.56,221.39,37094800,35.61437760727591,223.928502,230.7716002,0,Sell
2025-03-28,217.89999,223.81,217.67999,221.67,39818600,39.86457906836749,222.7315015,230.3722,0,Sell
2025-03-31,222.13,225.62,216.23,217.00999,65299300,51.438125166387735,221.9365015,230.2496002,0,Sell
2025-04-01,223.19,223.67999,218.89999,219.81,36412700,57.384056051287445,221.299502,230.1138002,0,Sell
2025-04-02,223.89,225.19,221.02,221.32001,35905900,70.04229895303389,220.7070015,230.1388002,0,Sell
2025-04-03,203.19,207.49001,201.25,205.53999,103419000,40.16048519651209,219.1000015,229.7260002,0,Sell
2025-04-04,188.38,199.88,187.34,193.89,125910900,30.77732246259156,216.565501,229.0204002,0,Sell
2025-04-07,181.46001,194.14999,174.62,177.2,160466300,28.387559147034267,214.2645015,228.1940004,0,Sell
2025-04-08,172.42,190.34,169.21001,186.7,120859500,22.809249628175134,211.8435015,227.0452004,0,Sell
2025-04-09,198.85001,200.61,171.89,171.95,184395900,42.670386361477895,210.93700200000004,226.2570008,0,Sell
2025-04-10,190.42,194.78,183.0,189.07001,121880000,37.1410173750019,209.9740025,225.2782008,0,Sell
2025-04-11,198.14999,199.53999,186.06,186.10001,87435900,40.05811903041608,209.2070015,224.4894006,0,Sell
2025-04-14,202.52,212.94,201.16,211.44,101352900,40.76234056443797,208.6330015,223.8198006,0,Sell
2025-04-15,202.14,203.50999,199.8,201.86,51343900,41.42567006685943,208.1055015,223.3024008,0,Sell
2025-04-16,194.27,200.7,192.37,198.36,59732400,37.53161459635197,207.057001,222.5318008,0,Sell
2025-04-17,196.98,198.83,194.42,197.2,51334300,40.93431072950838,206.2010005,221.8220008,0,Sell
2025-04-21,193.16,193.8,189.81,193.27,46742500,37.40106333807718,204.9455005,221.0208008,0,Sell
2025-04-22,199.74001,201.59,195.97,196.12,52976400,40.26890855616852,203.896001,220.463001,0,Sell
2025-04-23,204.60001,208.0,202.8,206.0,52929200,42.26234041018684,202.9385015,220.0020014,0,Sell
2025-04-24,208.37,208.83,202.94,204.89,47311000,52.40438128399903,202.2805015,219.5170014,0,Sell
2025-04-25,209.28,209.75,206.2,206.37,38222300,61.13834765756818,201.552001,218.9652014,0,Sell
2025-04-28,210.14,211.5,207.46001,210.0,38743100,66.34000694849351,201.1640015,218.3374014,0,Sell
2025-04-29,211.21001,212.24001,208.37,208.69,36827600,74.30755446513807,200.618002,217.6696014,0,Sell
2025-04-30,212.5,213.58,206.67,209.3,52286500,62.4885521521405,200.083502,217.0302014,0,Sell
2025-05-01,213.32001,214.56,208.89999,209.08,57365700,74.34099184927896,199.5550025,216.39920160000003,0,Sell
2025-05-02,205.35001,206.99001,202.16,206.09,101010600,57.614231127651806,199.663003,215.58960180000005,0,Sell
2025-05-05,198.89,204.10001,198.21001,203.10001,69018500,46.323679836467534,200.188503,214.65640180000003,0,Sell
2025-05-06,198.50999,200.64999,197.02,198.21001,51216500,46.32367045351197,201.041002,213.6846014,0,Sell
2025-05-07,196.25,199.44,193.25,199.17,68536700,52.26233900258728,202.232502,212.6688016,0,Sell
2025-05-08,197.49001,200.05,194.67999,197.72,50478900,50.60299082313257,202.164502,211.81140180000003,0,Sell
2025-05-09,198.53,200.53999,197.53999,199.0,36453900,56.79574447190865,202.570002,211.0360018,0,Sell
2025-05-12,210.78999,211.27,206.75,210.97,63775800,62.22613410046469,203.202002,210.4150016,0,Sell
2025-05-13,212.92999,213.39999,209.0,210.42999,51909300,59.80689898752062,203.7225015,209.91300140000004,0,Sell
2025-05-14,212.33,213.94,210.58,212.42999,49325800,55.03816793893132,204.2320015,209.4410016,0,Sell
2025-05-15,211.45,212.96001,209.53999,210.95,45029500,52.76292335115863,205.0910015,208.9552014,0,Sell
2025-05-16,211.25999,212.57001,209.77,212.36,54737900,51.4507638728591,205.805001,208.47380120000005,0,Sell
2025-05-19,208.78,209.48,204.25999,207.91,46140500,46.96324592932913,206.586001,207.868001,0,Sell
2025-05-20,206.86,208.47,205.03,207.67,42496600,43.06102362204725,206.9420005,207.455601,0,Sell
2025-05-21,202.09,207.03999,200.71001,205.17,59211800,37.407476431369474,206.8165,207.080601,0,Sell
2025-05-22,201.36,202.75,199.7,200.71001,46742400,44.65861972118334,206.466,206.768201,0,Sell
2025-05-23,195.27,197.7,193.46001,193.67,78432900,45.10545976498639,205.76550000000003,206.4800012,0,Sell
2025-05-27,200.21001,200.74001,197.42999,198.3,56288500,52.04624556872683,205.2690005,206.2144012,0,Sell
2025-05-28,200.42,202.73,199.89999,200.59,45339700,55.27982034936456,204.7295,205.9428012,0,Sell
2025-05-29,199.95,203.81,198.50999,203.58,51396800,53.17664244058038,204.102,205.6880012,0,Sell
2025-05-30,200.85001,201.96001,196.78,199.37,70819900,53.006752982569466,203.4785,205.4002012,0,Sell
2025-06-02,201.7,202.13,200.12,200.28,35423300,33.27200341258866,203.2959995,205.152201,0,Sell
2025-06-03,203.27,203.77,200.96001,201.35001,46381600,31.842117233878668,203.5149995,204.852201,0,Sell
2025-06-04,202.82001,206.24001,202.10001,202.91,43604000,32.02269641689844,203.7305005,204.4940012,0,Sell
2025-06-05,200.63,204.75,200.14999,203.5,55126100,30.511527377521617,203.9495005,204.0316012,0,Sell
2025-06-06,203.92,205.7,202.05,203.0,46607700,38.107594979778014,204.271,203.6794012,0,Sell
2025-06-09,201.45,206.0,200.02,204.39,72862600,38.11993517017826,204.417,203.231401,0,Sell
2025-06-10,202.67,204.35001,200.57001,200.60001,54672600,43.05140961857376,204.0110005,202.9268012,0,Sell
2025-06-11,198.78,204.5,198.41,203.5,60989900,44.34574649812094,203.303501,202.4598012,0,Sell
2025-06-12,199.2,199.67999,197.36,199.08,43904600,46.27071823204415,202.647001,201.9800012,0,Sell
2025-06-13,196.45,200.37,195.7,199.73,51447300,52.30288836846209,201.897001,201.4312012,0,Sell
2025-06-16,198.42,198.69,196.56,197.3,43020700,46.04854130178418,201.2550015,201.3358012,0,Sell
2025-06-17,195.64,198.39,195.21001,197.2,38856200,40.52339413164155,200.5980015,201.4810012,0,Sell
2025-06-18,196.58,197.57001,195.07001,195.94,45394700,43.44102763721297,200.0840015,201.783401,0,Sell
2025-06-20,201.0,201.7,196.86,198.24001,96813500,50.256744353558496,200.0295015,202.355001,0,Sell
2025-06-23,201.5,202.3,198.96001,201.63,55814300,49.65349965349967,200.0365015,202.4080008,0,Sell
2025-06-24,200.3,203.44,200.2,202.59,54064000,44.78764478764479,200.2880015,202.6056008,0,Sell
2025-06-25,201.56,203.67,200.62,201.45,39525700,47.84981302054164,200.355501,202.673801,0,Sell
2025-06-26,201.0,202.64,199.46001,201.42999,50799100,50.66859414528371,200.384501,202.643401,0,Sell
2025-06-27,201.08,203.22,200.0,201.89,73188600,44.1946034341783,200.441001,202.622201,0,Sell
