Date,Close,High,Low,Open,Volume,RSI,20DMA,50DMA,Signal,Buy_Sell
2024-12-10,443.32999,449.62,441.60001,444.39001,18469500,75.15758471237197,426.87000150000006,,0,Sell
2024-12-11,448.98999,450.35001,444.04999,444.04999,19200200,80.94975275304984,428.168001,,0,Sell
2024-12-12,449.56,456.16,449.10999,449.10999,20834800,85.23141924332629,429.3860005,,0,Sell
2024-12-13,447.26999,451.42999,445.57999,448.44,20177800,80.13137962743787,430.4049995,,0,Sell
2024-12-16,451.59,452.17999,445.28,447.26999,23598800,81.08413929413584,432.2344995,,0,Sell
2024-12-17,454.45999,455.29001,449.57001,451.01001,22733500,78.50526448190203,434.1694985,,0,Sell
2024-12-18,437.39001,452.64999,437.01999,451.32001,24444500,62.30770940170944,435.1494985,,0,Sell
2024-12-19,437.03,443.17999,436.32001,441.62,22963700,61.62014700802412,436.226499,,0,Sell
2024-12-20,436.60001,443.73999,428.63,433.10999,64263700,55.47758498151462,437.4129995,,0,Sell
2024-12-23,435.25,437.64999,432.82999,436.73999,19152500,53.86228378071404,438.3254995,,0,Sell
2024-12-24,439.32999,439.60001,434.19,434.64999,7164500,51.89896675242267,439.3524985,,0,Sell
2024-12-26,438.10999,440.94,436.63,439.07999,8194200,45.13062948188931,439.8584985,,0,Sell
2024-12-27,430.53,435.22,426.35001,434.60001,18117700,37.68415433556153,440.235499,428.3206004,0,Sell
2024-12-30,424.82999,427.54999,421.89999,426.06,13158700,31.144331731624845,440.303999,428.4828002,0,Sell
2024-12-31,421.5,426.73001,420.66,426.10001,13246500,30.793600350800688,439.8299985,428.5496002,0,Sell
2025-01-02,418.57999,426.07001,414.85001,425.53,16896500,21.889443520059203,439.1989975,428.5456,1,Buy
2025-01-03,423.35001,424.03,419.54001,421.07999,16662900,27.517596926128505,438.49549750000006,428.4624,1,Buy
2025-01-06,427.85001,434.32001,425.48001,428.0,20573600,33.9504297520661,437.756998,428.5274,0,Sell
2025-01-07,422.37,430.64999,420.79999,429.0,18139100,26.30554654557254,436.6969975,428.4801998,1,Buy
2025-01-08,424.56,426.97,421.54001,423.45999,15054600,25.483777388688523,435.6239979999999,428.4084,1,Buy
2025-01-10,418.95001,424.70999,415.01999,424.63,20201100,31.381267616612437,434.404999,428.2556002,0,Sell
2025-01-13,417.19,418.5,412.29001,415.23999,17604800,30.518467981748643,432.8149995,427.9604,0,Sell
2025-01-14,415.67001,419.73999,410.72,417.81,16935900,29.878877185588465,431.1205,427.6232002,1,Buy
2025-01-15,426.31,428.14999,418.26999,419.13,19637800,42.70799347471453,430.0725005000001,428.02240000000006,0,Sell
2025-01-16,424.57999,429.48999,424.39001,428.70001,15300000,37.48940203921898,428.722,428.3065998,0,Sell
2025-01-17,429.03,434.48001,428.17001,434.09,26197500,42.69862848248865,427.4505005,428.718,0,Sell
2025-01-21,428.5,430.89999,425.60001,430.20001,26085700,48.15889848801128,427.006,429.0588002,0,Sell
2025-01-22,446.20001,447.26999,436.0,437.56,27803800,65.91688311224009,427.4645005,429.5792006,0,Sell
2025-01-23,446.70999,446.75,441.5,442.0,18389300,69.6003562741302,427.9699995,430.0048006,0,Sell
2025-01-24,444.06,446.64999,441.39999,445.16,15549500,69.89382106592427,428.4104995,430.4352004,0,Sell
2025-01-27,434.56,435.20001,423.5,424.01001,35647800,58.15035017454562,428.172,430.7662002,0,Sell
2025-01-28,447.20001,448.38,431.38,434.60001,23491700,62.57963853855157,428.626501,431.2496004000001,0,Sell
2025-01-29,442.32999,446.88,440.39999,446.69,23581400,63.07993930800272,429.2165005,431.5922,0,Sell
2025-01-30,414.98999,422.85999,413.16,418.76999,54586300,45.283386369306406,428.7245005,431.3541996000001,0,Sell
2025-01-31,415.06,420.69,414.91,418.98001,34223400,47.972052558006695,428.4025005,431.3553996,0,Sell
2025-02-03,410.92001,415.41,408.66,411.60001,25679100,46.810464257761296,428.0195015000001,431.2585996,0,Sell
2025-02-04,412.37,413.92001,409.73999,412.69,20532100,48.32009282019011,427.470501,431.1501994,0,Sell
